epochs,learning_rate,weight_decay,aug_map,paths,scores
12,0.0001,1e-05,<function augment2 at 0x7efe24f25af0>,cifar/cifar-12_0.0001_1e-05814.h5,0.8242999911308289
12,5e-05,0.0001,<function augment2 at 0x7efe24f25af0>,cifar/cifar-12_5e-05_0.0001438.h5,0.8219000101089478
12,0.0001,1e-05,,cifar/cifar-12_0.0001_1e-05745.h5,0.8163999915122986
8,0.0001,0.0001,<function augment2 at 0x7efe24f25af0>,cifar/cifar-8_0.0001_0.0001520.h5,0.815500020980835
8,0.0001,0.0001,<function augment2 at 0x7efe24f25af0>,cifar/cifar-8_0.0001_0.0001195.h5,0.8102999925613403
10,5e-05,0.0001,,cifar/cifar-10_5e-05_0.0001597.h5,0.802299976348877
12,5e-05,0.0001,,cifar/cifar-12_5e-05_0.0001494.h5,0.7993000149726868
8,0.0001,1e-05,,cifar/cifar-8_0.0001_1e-05221.h5,0.798799991607666
8,0.0001,0.0001,,cifar/cifar-8_0.0001_0.0001621.h5,0.7921000123023987
8,5e-05,0.0001,,cifar/cifar-8_5e-05_0.0001254.h5,0.7918000221252441
8,5e-05,1e-05,,cifar/cifar-8_5e-05_1e-05709.h5,0.7896999716758728
12,0.0001,1e-05,<function augment1 at 0x7efe17c70820>,cifar/cifar-12_0.0001_1e-05945.h5,0.7822999954223633
10,1e-05,0.0001,,cifar/cifar-10_1e-05_0.0001868.h5,0.7648000121116638
12,1e-05,1e-05,,cifar/cifar-12_1e-05_1e-05653.h5,0.7476999759674072
12,1e-05,0.0001,<function augment1 at 0x7efe17c70820>,cifar/cifar-12_1e-05_0.0001738.h5,0.7465000152587891
10,1e-05,0.0001,<function augment1 at 0x7efe17c70820>,cifar/cifar-10_1e-05_0.0001300.h5,0.7432000041007996
8,1e-05,0.0001,<function augment1 at 0x7efe17c70820>,cifar/cifar-8_1e-05_0.0001256.h5,0.7222999930381775
8,1e-05,1e-05,,cifar/cifar-8_1e-05_1e-05645.h5,0.7164999842643738
12,1e-05,1e-05,<function augment1 at 0x7efe17c70820>,cifar/cifar-12_1e-05_1e-05142.h5,0.7032999992370605
8,1e-05,1e-05,<function augment1 at 0x7efe17c70820>,cifar/cifar-8_1e-05_1e-05335.h5,0.6696000099182129
